,name,value,id,size,genres
35,South Africa,146,ZAF,146,"[{'title': 'World Music', 'value': 5.0}, {'title': 'Rock', 'value': 4.0}, {'title': 'Christian Rock', 'value': 4.0}, {'title': 'Hip Hop', 'value': 2.0}, {'title': 'Pop', 'value': 2.0}, {'title': 'Alternative Rock', 'value': 2.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Groove Metal', 'value': 1.0}, {'title': 'R\\u0026B', 'value': 1.0}, {'title': 'Gothic Rock', 'value': 1.0}]"
36,Hungary,140,HUN,140,"[{'title': 'Alternative Rock', 'value': 3.0}, {'title': 'Rock', 'value': 2.0}, {'title': 'Progressive Metal', 'value': 2.0}, {'title': 'Hard Rock', 'value': 1.0}, {'title': 'Punk Rock', 'value': 1.0}, {'title': 'Electropop', 'value': 1.0}, {'title': 'Jazz', 'value': 1.0}, {'title': 'Psychedelic Rock', 'value': 1.0}, {'title': 'Black Metal', 'value': 1.0}, {'title': 'Gothic Metal', 'value': 1.0}]"
37,Wales,123,GBR,123,"[{'title': 'Alternative Rock', 'value': 5.0}, {'title': 'Rock', 'value': 5.0}, {'title': 'Indie Pop', 'value': 4.0}, {'title': 'Post-Hardcore', 'value': 3.0}, {'title': 'Pop', 'value': 3.0}, {'title': 'Heavy Metal', 'value': 2.0}, {'title': 'Hard Rock', 'value': 2.0}, {'title': 'Christian Rock', 'value': 1.0}, {'title': 'New Wave', 'value': 1.0}, {'title': 'Anarcho-Punk', 'value': 1.0}]"
38,Greece,123,GRC,123,"[{'title': 'Black Metal', 'value': 4.0}, {'title': 'EBM', 'value': 2.0}, {'title': 'Neofolk', 'value': 2.0}, {'title': 'Hip Hop', 'value': 2.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Electro', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Melodic Death Metal', 'value': 1.0}, {'title': 'Speed Metal', 'value': 1.0}]"
39,Romania,119,ROU,119,"[{'title': 'Pop', 'value': 6.0}, {'title': 'Hip Hop', 'value': 4.0}, {'title': 'Heavy Metal', 'value': 2.0}, {'title': 'Dance', 'value': 2.0}, {'title': 'Death Metal', 'value': 2.0}, {'title': 'Alternative Rock', 'value': 2.0}, {'title': 'Trance', 'value': 1.0}, {'title': 'Indie Rock', 'value': 1.0}, {'title': 'Progressive Rock', 'value': 1.0}, {'title': 'Blues Rock', 'value': 1.0}]"
40,Colombia,118,COL,118,"[{'title': 'Rock', 'value': 2.0}, {'title': 'Death Metal', 'value': 2.0}, {'title': 'Classical', 'value': 1.0}, {'title': 'Heavy Metal', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Ballad', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Latin Pop', 'value': 1.0}, {'title': 'Neoclassical', 'value': 0.0}]"
41,South Korea,114,41,114,"[{'title': 'K-Pop', 'value': 11.0}, {'title': 'Pop', 'value': 4.0}, {'title': 'J-Pop', 'value': 3.0}, {'title': 'Hip Hop', 'value': 2.0}, {'title': 'Christian Rock', 'value': 1.0}, {'title': 'Dance', 'value': 1.0}, {'title': 'Indie Pop', 'value': 1.0}, {'title': 'Norteño\u200e', 'value': 0.0}, {'title': 'Noise', 'value': 0.0}, {'title': 'Noise Pop', 'value': 0.0}]"
42,Indonesia,105,IDN,105,"[{'title': 'Pop', 'value': 4.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'World Music', 'value': 1.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Avant-garde Metal', 'value': 1.0}, {'title': 'Death Metal', 'value': 1.0}, {'title': 'Nu Jazz', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Christian', 'value': 1.0}]"
43,Israel,104,ISR,104,"[{'title': 'Pop', 'value': 7.0}, {'title': 'Folk', 'value': 3.0}, {'title': 'Progressive Rock', 'value': 2.0}, {'title': 'Soundtrack', 'value': 1.0}, {'title': 'Electronica', 'value': 1.0}, {'title': 'Psychedelic Trance', 'value': 1.0}, {'title': 'Dubstep', 'value': 1.0}, {'title': 'Synthpop', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'Black Metal', 'value': 1.0}]"
44,Serbia,103,SRB,103,"[{'title': 'Punk Rock', 'value': 2.0}, {'title': 'Progressive Rock', 'value': 1.0}, {'title': 'Power Metal', 'value': 1.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Nu Metal', 'value': 1.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Heavy Metal', 'value': 1.0}, {'title': 'Folk', 'value': 1.0}, {'title': 'Schlager', 'value': 1.0}, {'title': 'Progressive Metal', 'value': 1.0}]"
